Latitud;Longitud;KPI ;Potencia Nominal
-33.52449199;-70.71599007;1002.35;99
-33.805521;-70.681938;844.08;80
-33.453322;-70.782403;907.39;100
-33.571014;-70.84419;1181.72;75
-33.443817;-70.654767;759.68;25
-33.841239;-70.832828;822.98;25
-33.421277;-70.588676;770.23;25
-33.44134;-70.528871;844.08;20
-33.868123;-70.615069;728.02;13
-33.427585;-70.777646;770.23;100
-33.702667;-70.587556;696.37;75
-33.488259;-70.706242;738.57;120
-33.868424;-70.73798;630.26;60
-33.868112;-70.590656;738.57;100
-33.65837;-70.713226;780.78;100
-33.49375;-70.608277;791.33;10
-33.381222;-70.754805;749.12;15
-33.57469;-71.002922;736.50;175
-33.873234;-70.740725;749.12;33
-33.775521;-70.755164;569.76;100
-33.593399;-71.053053;701.38;80
-33.6099;-71.27516;624.92;300
-33.498885;-70.616608;629.29;80
-33.315358;-70.731452;655.82;300
-33.53615179;-70.70478981;537.23;50
-33.398458;-70.601921;758.49;100
-33.337634;-70.712244;587.43;175
-33.781043;-70.767143;618.69;100
-33.3225069;-70.7346263;536.88;200
-33.626649;-70.769994;617.08;60
-33.4704;-70.667;634.11;40
-33.627367;-70.557593;665.86;300
-33.458659;-70.882934;509.15;250
-33.832394;-70.781236;558.58;150
-33.856054;-70.66372;489.14;200
-33.041111;-70.70694;593.02;300
-33.983833;-71.347611;593.95;300
-33.856947;-70.64963;603.50;300